GrouP28,,,,,
P1,P2,P3,P4,P5,PC
,,,98.05,65.47,79
,,,97.92,65.46,79
,,,97.98,65.6,79
,,,98.02,65.56,79
,,,97.97,65.51,79
,,,98,65.47,79
,,,98.02,65.51,79
,,,98.04,65.17,79
,,,97.99,65.04,79
,,,97.96,65.39,79
,,,97.95,65.51,79
,,,98.02,65.29,79
,,,98.04,65.48,79
,,,98.06,65.67,79
,,,97.96,65.25,79
,,,98,65.37,79
,,,97.98,65.22,79
,,,98,65.04,79
,,,98.04,65.08,79
,,,98.06,65.2,79
,,,97.88,65.26,79
,,,97.98,65.28,79
,,,98.01,65.22,79
,,,98.04,65.1,79
,,,98.04,64.97,79
,,,98.02,64.99,79
,,,97.98,64.89,79
,,,97.98,64.84,79
,,,98.02,64.71,79
,,,98.02,65.02,79
,,,97.98,65.15,79
,,,97.98,65.33,79
,,,98.03,65.45,79
,,,97.96,65.75,79
,,,98.02,65.47,79
,,,98.03,65.76,79
,,,98,65.7,79
,,,97.99,65.82,79
,,,97.95,65.88,79
,,,98.09,65.9,79
,,,97.98,65.8,79
,,,98.01,65.75,79
,,,98.02,65.83,79
,,,98.02,65.82,79
,,,98,66,79
,,,98,66.02,79
,,,97.98,65.88,79
,,,98.02,65.9,79
,,,98.03,65.78,79
,,,98.02,65.62,79
,,,98.02,65.73,79
,,,98.01,65.49,79
,,,97.98,65.07,79
,,,97.96,64.93,79
,,,98.03,65.01,79
,,,98.04,64.9,79
,110.98,,97.92,76.38,79
241.9407948,110.74,107.26,98.17,65.27,79
,107.1,106.43,97.88,65.41,
,105.76,105.03,97.89,65.74,
,105.35,,98.02,66.66,
,105.64,,97.98,67.03,
,105.92,,98.01,67.34,
,106.19,,97.9,67.53,
,106.48,,98.02,67.63,
,106.52,,98.22,67.35,
,106.44,,97.4,67.77,
,106.3,,98.66,67.92,
,106,,97.5,68.08,
,105.77,,98.04,68.29,
,105.9,,98.18,68.4,
,106.04,,97.44,68.67,
,106.69,,98.6,68.8,
,107.13,,97.41,68.52,
,107.47,,98.1,68.44,
,107.44,,98.22,68.36,
,107.25,,97.4,68.31,
,107.11,,98.63,68.55,
,107.38,,97.61,68.35,
,107.76,,97.93,68.33,
,107.88,,98.34,68.39,
,107.73,,97.37,68.48,
,107.45,,98.64,68.48,
,107.42,,97.59,68.63,
,107.69,,97.94,68.62,
,107.88,,98.23,68.65,
,107.91,,97.44,68.72,
,107.84,,98.62,68.61,
,107.74,,97.51,68.83,
,107.63,,98.2,68.81,
,107.58,,98.01,68.66,
,107.37,,97.38,68.59,
,107.29,,98.65,68.9,
,107.42,,97.55,68.78,
,107.72,,98,68.85,
,107.84,,98.24,68.85,
,107.83,,97.36,68.87,
,107.92,,98.67,69.2,
,107.85,,97.55,68.95,
,107.74,,98.03,68.9,
,107.63,,98.21,68.76,
,107.59,,97.39,69.06,
,107.44,,98.62,69.05,
,107.23,,97.59,68.97,
,107.59,,97.87,68.82,
,107.78,,98.29,68.52,
,107.71,,97.38,68.65,
,107.6,,98.59,68.72,
,107.52,,97.64,68.57,
,107.45,,97.79,68.68,
,107.54,,98.36,68.38,
,107.35,,97.44,68.46,
,107.24,,98.6,68.53,
,107.13,,97.6,68.55,
,107.34,,97.85,68.46,
,107.66,,98.36,68.51,
,107.59,,97.41,68.45,
,107.37,,98.6,68.38,
,107.17,,97.67,68.52,
,107.18,,97.75,68.25,
,107.31,,98.38,68.1,
,107.16,,97.42,68.29,
,106.95,,98.55,68.55,
,106.75,,97.72,68.49,
,106.9,,97.67,68.47,
,107.27,,98.44,68.47,
,107.3,,97.42,68.79,
233.82,107.38,,98.39,69.51,
,113.16,,97.99,73.98,
,116.72,106.41,97.58,74.19,
,113.53,106.01,98.36,72.62,
,110.98,105.06,97.72,72.16,
,110.24,,98.17,71.87,
,110.28,,97.94,71.74,
,110.23,,97.98,71.71,
,110.04,,98.05,71.55,
,109.73,,98.01,71.69,
,109.89,,98.03,71.82,
,110.33,,98.08,71.91,
,110.57,,97.98,71.87,
,110.73,,98.01,71.91,
,110.61,,97.99,71.94,
,110.94,,97.99,71.89,
,111.19,,98.02,71.99,
,111.23,,98.03,72.03,
,111.17,,97.99,72.35,
,111.1,,98.03,72.36,
,111.1,,98,72.39,
,111.07,,97.98,72.4,
,110.87,,97.99,72.42,
,110.78,,97.97,72.38,
,111.14,,98.03,72.6,
,111.37,,97.95,72.71,
,111.11,,97.98,72.71,
,110.88,,98.71,73.04,
,111.25,,99.08,73.08,
